Vurderingsfagkode;Vurderingsfagnavn;EnhetNavn;2022-23.Muntlig eksamen Snittkarakter;2022-23.Muntlig eksamen Antall elever;2022-23.Skriftlig eksamen Snittkarakter;2022-23.Skriftlig eksamen Antall elever;2022-23.Standpunkt Snittkarakter;2022-23.Standpunkt Antall elever;2023-24.Muntlig eksamen Snittkarakter;2023-24.Muntlig eksamen Antall elever;2023-24.Skriftlig eksamen Snittkarakter;2023-24.Skriftlig eksamen Antall elever;2023-24.Standpunkt Snittkarakter;2023-24.Standpunkt Antall elever;2024-25.Muntlig eksamen Snittkarakter;2024-25.Muntlig eksamen Antall elever;2024-25.Skriftlig eksamen Snittkarakter;2024-25.Skriftlig eksamen Antall elever;2024-25.Standpunkt Snittkarakter;2024-25.Standpunkt Antall elever
FLY3016;Luftfartøysystemer, part 66-12(B1.3-B1.4);Alle skoler;;;3,5;93;;;;;3,6;118;;;;;3,7;132;;
FLY3016;Luftfartøysystemer, part 66-12(B1.3-B1.4);Alle skoler;;;3,5;93;;;;;3,6;118;;;;;3,7;132;;
FLY3017;Luftfartøysystemer, part 66-15(B1);Alle skoler;;;3,9;93;;;;;4;110;;;;;3,8;138;;
FLY3017;Luftfartøysystemer, part 66-15(B1);Alle skoler;;;3,9;93;;;;;4;110;;;;;3,8;138;;
FLY3018;Luftfartøysystemer, part 66-17(B1);Alle skoler;;;4,2;88;;;;;4,4;109;;;;;4,5;138;;
FLY3018;Luftfartøysystemer, part 66-17(B1);Alle skoler;;;4,2;88;;;;;4,4;109;;;;;4,5;138;;
FLY3019;Vedlikeholdsteknikk;Alle skoler;;;;;4,5;83;;;;;4,6;89;;;;;4,6;109
FLY3019;Vedlikeholdsteknikk;Alle skoler;;;;;4,5;83;;;;;4,6;89;;;;;4,6;109
FLY3020;Vedlikeholdsteknikk, part 66-7A(B1);Alle skoler;;;4;97;;;;;4;123;;;;;4;145;;
FLY3020;Vedlikeholdsteknikk, part 66-7A(B1);Alle skoler;;;4;97;;;;;4;123;;;;;4;145;;
FLY3021;Vedlikeholdsteknikk, part 66-7A Essay 1(B1);Alle skoler;;;4,1;97;;;;;4,1;112;;;;;4,2;155;;
FLY3021;Vedlikeholdsteknikk, part 66-7A Essay 1(B1);Alle skoler;;;4,1;97;;;;;4,1;112;;;;;4,2;155;;
FLY3022;Vedlikeholdsteknikk, part 66-7A Essay 2(B1);Alle skoler;;;4,2;97;;;;;4;112;;;;;4,1;155;;
FLY3022;Vedlikeholdsteknikk, part 66-7A Essay 2(B1);Alle skoler;;;4,2;97;;;;;4;112;;;;;4,1;155;;
FLY3023;Flysikkerhet;Alle skoler;;;;;4,3;83;;;;;4,5;90;;;;;4,5;109
FLY3023;Flysikkerhet;Alle skoler;;;;;4,3;83;;;;;4,5;90;;;;;4,5;109
FLY3024;Flysikkerhet, part 66-9A(B1B2);Alle skoler;;;4,5;59;;;;;4,6;100;;;;;4,6;139;;
FLY3024;Flysikkerhet, part 66-9A(B1B2);Alle skoler;;;4,5;59;;;;;4,6;100;;;;;4,6;139;;
FLY3025;Flysikkerhet, part 66-9A Essay(B1B2);Alle skoler;;;4,3;59;;;;;3,9;107;;;;;;;;
FLY3025;Flysikkerhet, part 66-9A Essay(B1B2);Alle skoler;;;4,3;59;;;;;3,9;107;;;;;;;;
FLY3026;Flysikkerhet, part 66-10(B1B2);Alle skoler;;;4,2;65;;;;;4,5;104;;;;;4,1;143;;
FLY3026;Flysikkerhet, part 66-10(B1B2);Alle skoler;;;4,2;65;;;;;4,5;104;;;;;4,1;143;;
FLY3027;Flysikkerhet, part 66-10 Essay(B1B2);Alle skoler;;;3,7;68;;;;;3,9;112;;;;;;;;
FLY3027;Flysikkerhet, part 66-10 Essay(B1B2);Alle skoler;;;3,7;68;;;;;3,9;112;;;;;;;;
FOT2005;Helse, funksjon og bevegelse;Alle skoler;;;;;4,1;15;;;;;3,9;14;;;;;4,1;9
FOT2005;Helse, funksjon og bevegelse;Alle skoler;;;;;4,1;15;;;;;3,9;14;;;;;4,1;9
FOT2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;15;;;;;4;13;;;;;3,8;9
FOT2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;15;;;;;4;13;;;;;3,8;9
FOT2007;Yrkesliv i fotterapi og ortopediteknikk;Alle skoler;;;;;4,1;16;;;;;4,1;14;;;;;3,6;9
FOT2007;Yrkesliv i fotterapi og ortopediteknikk;Alle skoler;;;;;4,1;16;;;;;4,1;14;;;;;3,6;9
FOT2008;Tverrfaglig eksamen fotterapi og ortopediteknikk;Alle skoler;4,4;17;;;;;4,2;13;;;;;4,2;9;;;;
FOT2008;Tverrfaglig eksamen fotterapi og ortopediteknikk;Alle skoler;4,4;17;;;;;4,2;13;;;;;4,2;9;;;;
FOT3004;Tverrfaglig eksamen fotterapi;Alle skoler;*;*;;;;;;;;;;;;;;;;
FOT3004;Tverrfaglig eksamen fotterapi;Alle skoler;*;*;;;;;;;;;;;;;;;;
FOT3005;Helse, funksjon og bevegelse;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3005;Helse, funksjon og bevegelse;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3006;Kommunikasjon og samhandling;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3006;Kommunikasjon og samhandling;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3007;Yrkesliv i fotterapifaget;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3007;Yrkesliv i fotterapifaget;Alle skoler;;;;;;;;;;;*;*;;;;;*;*
FOT3008;Tverrfaglig eksamen fotterapi;Alle skoler;;;;;;;*;*;;;;;*;*;;;;
FOT3008;Tverrfaglig eksamen fotterapi;Alle skoler;;;;;;;*;*;;;;;*;*;;;;
HEA2005;Helsefremmende arbeid;Alle skoler;;;;;4,2;3 427;;;;;4,2;3 381;;;;;4,2;3 132
HEA2005;Helsefremmende arbeid;Alle skoler;;;;;4,2;3 427;;;;;4,2;3 381;;;;;4,2;3 132
HEA2005;Helsefremmende arbeid;Alle skoler;;;;;4,4;153;;;;;4,1;121;;;;;4,4;115
HEA2005;Helsefremmende arbeid;Holtet videregående skole;;;;;2,9;22;;;;;2,2;12;;;;;;
HEA2005;Helsefremmende arbeid;Kuben videregående skole;;;;;4,3;42;;;;;3,8;34;;;;;4,3;33
HEA2005;Helsefremmende arbeid;Nydalen videregående skole;;;;;4,3;27;;;;;4,7;32;;;;;4;27
HEA2005;Helsefremmende arbeid;Stovner videregående skole;;;;;4,2;10;;;;;3,7;6;;;;;3,2;10
HEA2005;Helsefremmende arbeid;Ullern videregående skole;;;;;5,1;52;;;;;4,4;37;;;;;4,9;45
HEA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;3 444;;;;;4,3;3 407;;;;;4,3;3 113
HEA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;3 444;;;;;4,3;3 407;;;;;4,3;3 113
HEA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;152;;;;;4,2;122;;;;;4,3;115
HEA2006;Kommunikasjon og samhandling;Holtet videregående skole;;;;;2,9;21;;;;;2,6;12;;;;;;
HEA2006;Kommunikasjon og samhandling;Kuben videregående skole;;;;;4,4;42;;;;;4;34;;;;;4,4;33
HEA2006;Kommunikasjon og samhandling;Nydalen videregående skole;;;;;4,1;27;;;;;4,5;32;;;;;3,6;27
HEA2006;Kommunikasjon og samhandling;Stovner videregående skole;;;;;4,3;10;;;;;3,8;6;;;;;3,6;10
HEA2006;Kommunikasjon og samhandling;Ullern videregående skole;;;;;5;52;;;;;4,6;38;;;;;4,9;45
HEA2007;Yrkesliv i helsearbeiderfag;Alle skoler;;;;;4,2;3 401;;;;;4,2;3 437;;;;;4,2;3 081
HEA2007;Yrkesliv i helsearbeiderfag;Alle skoler;;;;;4,2;3 401;;;;;4,2;3 437;;;;;4,2;3 081
HEA2007;Yrkesliv i helsearbeiderfag;Alle skoler;;;;;4,3;152;;;;;4,1;123;;;;;4,5;115
HEA2007;Yrkesliv i helsearbeiderfag;Holtet videregående skole;;;;;2,5;21;;;;;2,2;14;;;;;;
HEA2007;Yrkesliv i helsearbeiderfag;Kuben videregående skole;;;;;4,4;42;;;;;3,9;33;;;;;4,4;33
HEA2007;Yrkesliv i helsearbeiderfag;Nydalen videregående skole;;;;;4,3;27;;;;;4,7;32;;;;;4;27
HEA2007;Yrkesliv i helsearbeiderfag;Stovner videregående skole;;;;;4,3;10;;;;;3,8;6;;;;;3,7;10
HEA2007;Yrkesliv i helsearbeiderfag;Ullern videregående skole;;;;;4,9;52;;;;;4,5;38;;;;;5,1;45
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Alle skoler;4,2;3 935;;;;;4,3;3 337;;;;;4,3;3 051;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Alle skoler;4,2;3 935;;;;;4,3;3 337;;;;;4,3;3 051;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Alle skoler;3,9;182;;;;;3,9;104;;;;;4,5;92;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Holtet videregående skole;2,2;22;;;;;*;*;;;;;;;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Kuben videregående skole;3,9;41;;;;;3,8;33;;;;;4,2;32;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Nydalen videregående skole;4,6;27;;;;;4,3;33;;;;;4;26;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Oslo voksenopplæring Sinsen;3,7;52;;;;;;;;;;;;;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Stovner videregående skole;3,3;10;;;;;*;*;;;;;2,7;7;;;;
HEA2008;Tverrfaglig eksamen helsearbeiderfag;Ullern videregående skole;5,2;30;;;;;4,3;23;;;;;5,7;27;;;;
HEA3102;Helsearbeiderfaget, skriftlig;Alle skoler;;;*;*;;;;;*;*;;;;;;;;
HEA3102;Helsearbeiderfaget, skriftlig;Alle skoler;;;*;*;;;;;*;*;;;;;;;;
HEA3103;Helsearbeiderfaget, skriftlig;Alle skoler;;;;;;;;;*;*;;;;;*;*;;
HEA3103;Helsearbeiderfaget, skriftlig;Alle skoler;;;;;;;;;*;*;;;;;*;*;;
HES2005;Helse og sykdom;Alle skoler;;;;;4;817;;;;;4;770;;;;;3,9;757
HES2005;Helse og sykdom;Alle skoler;;;;;4;817;;;;;4;770;;;;;3,9;757
HES2005;Helse og sykdom;Alle skoler;;;;;3,9;90;;;;;4;85;;;;;4,2;74
HES2005;Helse og sykdom;Hersleb videregående skole;;;;;3,5;57;;;;;3,6;54;;;;;4,1;42
HES2005;Helse og sykdom;Nydalen videregående skole;;;;;*;*;;;;;4,7;31;;;;;4,4;32
HES2005;Helse og sykdom;Oslo voksenopplæring Sinsen;;;;;*;*;;;;;;;;;;;;
HES2006;Kommunikasjon og samhandling;Alle skoler;;;;;4;819;;;;;4,1;773;;;;;3,9;759
HES2006;Kommunikasjon og samhandling;Alle skoler;;;;;4;819;;;;;4,1;773;;;;;3,9;759
HES2006;Kommunikasjon og samhandling;Alle skoler;;;;;4;89;;;;;4;86;;;;;4;75
HES2006;Kommunikasjon og samhandling;Hersleb videregående skole;;;;;3,7;56;;;;;3,7;55;;;;;4;43
HES2006;Kommunikasjon og samhandling;Nydalen videregående skole;;;;;*;*;;;;;4,5;31;;;;;4,1;32
HES2006;Kommunikasjon og samhandling;Oslo voksenopplæring Sinsen;;;;;*;*;;;;;;;;;;;;
HES2007;Yrkesliv i helseservicefag;Alle skoler;;;;;4;819;;;;;4,1;771;;;;;3,9;760
HES2007;Yrkesliv i helseservicefag;Alle skoler;;;;;4;819;;;;;4,1;771;;;;;3,9;760
HES2007;Yrkesliv i helseservicefag;Alle skoler;;;;;3,9;89;;;;;4;83;;;;;4,1;76
HES2007;Yrkesliv i helseservicefag;Hersleb videregående skole;;;;;3,6;56;;;;;3,8;52;;;;;3,9;44
HES2007;Yrkesliv i helseservicefag;Nydalen videregående skole;;;;;*;*;;;;;4,5;31;;;;;4,3;32
HES2007;Yrkesliv i helseservicefag;Oslo voksenopplæring Sinsen;;;;;*;*;;;;;;;;;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Alle skoler;3,8;944;;;;;4;763;;;;;3,9;779;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Alle skoler;3,8;944;;;;;4;763;;;;;3,9;779;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Alle skoler;3,7;85;;;;;4,3;84;;;;;3,9;71;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Hersleb videregående skole;3,5;53;;;;;4;53;;;;;3,7;39;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Nydalen videregående skole;*;*;;;;;4,8;31;;;;;4,2;32;;;;
HES2008;Tverrfaglig eksamen helseservicefag;Oslo voksenopplæring Sinsen;*;*;;;;;;;;;;;;;;;;
HSE3004;Tverrfaglig eksamen, helsesekretær;Alle skoler;4,9;21;;;;;;;;;;;;;;;;
HSE3004;Tverrfaglig eksamen, helsesekretær;Alle skoler;4,9;21;;;;;;;;;;;;;;;;
HSE3005;Helse og sykdom;Alle skoler;;;;;3,8;211;;;;;3,7;210;;;;;3,8;195
HSE3005;Helse og sykdom;Alle skoler;;;;;3,8;211;;;;;3,7;210;;;;;3,8;195
HSE3005;Helse og sykdom;Alle skoler;;;;;4,1;38;;;;;3,6;36;;;;;3,6;34
HSE3005;Helse og sykdom;Hersleb videregående skole;;;;;3,7;20;;;;;3,9;18;;;;;3,9;19
HSE3005;Helse og sykdom;Nydalen videregående skole;;;;;4,7;18;;;;;3,3;18;;;;;3,1;15
HSE3006;Kommunikasjon og samhandling;Alle skoler;;;;;4;211;;;;;3,9;209;;;;;4,1;196
HSE3006;Kommunikasjon og samhandling;Alle skoler;;;;;4;211;;;;;3,9;209;;;;;4,1;196
HSE3006;Kommunikasjon og samhandling;Alle skoler;;;;;4,2;38;;;;;4,1;36;;;;;4,1;34
HSE3006;Kommunikasjon og samhandling;Hersleb videregående skole;;;;;3,8;20;;;;;4,4;18;;;;;4,7;19
HSE3006;Kommunikasjon og samhandling;Nydalen videregående skole;;;;;4,7;18;;;;;3,8;18;;;;;3,4;15
HSE3007;Yrkesliv i helsesekretærfaget;Alle skoler;;;;;4;211;;;;;3,9;210;;;;;4;196
HSE3007;Yrkesliv i helsesekretærfaget;Alle skoler;;;;;4;211;;;;;3,9;210;;;;;4;196
HSE3007;Yrkesliv i helsesekretærfaget;Alle skoler;;;;;4,3;38;;;;;3,6;36;;;;;3,7;34
HSE3007;Yrkesliv i helsesekretærfaget;Hersleb videregående skole;;;;;3,9;20;;;;;3,7;18;;;;;3,9;19
HSE3007;Yrkesliv i helsesekretærfaget;Nydalen videregående skole;;;;;4,7;18;;;;;3,4;18;;;;;3,5;15
HSE3008;Tverrfaglig eksamen, helsesekretær;Alle skoler;3,7;313;;;;;3,8;207;;;;;3,7;215;;;;
HSE3008;Tverrfaglig eksamen, helsesekretær;Alle skoler;3,7;313;;;;;3,8;207;;;;;3,7;215;;;;
HSE3008;Tverrfaglig eksamen, helsesekretær;Alle skoler;3,4;65;;;;;3,8;36;;;;;3,5;34;;;;
HSE3008;Tverrfaglig eksamen, helsesekretær;Hersleb videregående skole;3,3;18;;;;;3,8;18;;;;;3,6;19;;;;
HSE3008;Tverrfaglig eksamen, helsesekretær;Nydalen videregående skole;3,6;18;;;;;3,7;18;;;;;3,4;15;;;;
HSE3008;Tverrfaglig eksamen, helsesekretær;Oslo voksenopplæring Sinsen;3,2;29;;;;;;;;;;;;;;;;
HSF1006;Helsefremmende arbeid;Alle skoler;;;;;4,2;7 763;;;;;4,1;7 332;;;;;4,1;8 004
HSF1006;Helsefremmende arbeid;Alle skoler;;;;;4,2;7 763;;;;;4,1;7 332;;;;;4,1;8 004
HSF1006;Helsefremmende arbeid;Alle skoler;;;;;3,9;487;;;;;3,8;376;;;;;4;418
HSF1006;Helsefremmende arbeid;Eikelund videregående skole;;;;;*;*;;;;;*;*;;;;;4,6;8
HSF1006;Helsefremmende arbeid;Hersleb videregående skole;;;;;3,3;56;;;;;3,2;32;;;;;3,5;55
HSF1006;Helsefremmende arbeid;Holtet videregående skole;;;;;3,8;85;;;;;3,3;62;;;;;;
HSF1006;Helsefremmende arbeid;Kuben videregående skole;;;;;4,3;94;;;;;4,1;98;;;;;3,9;120
HSF1006;Helsefremmende arbeid;Nydalen videregående skole;;;;;4,2;77;;;;;4,3;76;;;;;4,3;70
HSF1006;Helsefremmende arbeid;Oslo voksenopplæring Helsfyr;;;;;*;*;;;;;;;;;;;;
HSF1006;Helsefremmende arbeid;Oslo voksenopplæring Skullerud;;;;;2,7;31;;;;;;;;;;;;
HSF1006;Helsefremmende arbeid;Stovner videregående skole;;;;;3,7;44;;;;;3,8;28;;;;;3,7;43
HSF1006;Helsefremmende arbeid;Ullern videregående skole;;;;;4,6;31;;;;;*;*;;;;;5,1;31
HSF1006;Helsefremmende arbeid;Ulsrud videregående skole;;;;;3,7;61;;;;;3,4;59;;;;;3,8;91
HSF1007;Kommunikasjon og samhandling;Alle skoler;;;;;4,2;7 737;;;;;4,2;7 326;;;;;4,2;7 970
HSF1007;Kommunikasjon og samhandling;Alle skoler;;;;;4,2;7 737;;;;;4,2;7 326;;;;;4,2;7 970
HSF1007;Kommunikasjon og samhandling;Alle skoler;;;;;4;485;;;;;3,8;381;;;;;4;414
HSF1007;Kommunikasjon og samhandling;Eikelund videregående skole;;;;;3,7;7;;;;;*;*;;;;;4,9;8
HSF1007;Kommunikasjon og samhandling;Hersleb videregående skole;;;;;3,9;55;;;;;3,2;33;;;;;3,5;58
HSF1007;Kommunikasjon og samhandling;Holtet videregående skole;;;;;3,8;85;;;;;3;64;;;;;;
HSF1007;Kommunikasjon og samhandling;Kuben videregående skole;;;;;4,3;94;;;;;4;100;;;;;3,9;118
HSF1007;Kommunikasjon og samhandling;Nydalen videregående skole;;;;;4,6;76;;;;;4,3;76;;;;;4,5;69
HSF1007;Kommunikasjon og samhandling;Oslo voksenopplæring Helsfyr;;;;;;;;;;;*;*;;;;;;
HSF1007;Kommunikasjon og samhandling;Oslo voksenopplæring Skullerud;;;;;3,4;33;;;;;;;;;;;;
HSF1007;Kommunikasjon og samhandling;Stovner videregående skole;;;;;3,8;44;;;;;3,9;28;;;;;3,9;42
HSF1007;Kommunikasjon og samhandling;Ullern videregående skole;;;;;4,7;31;;;;;*;*;;;;;5,1;31
HSF1007;Kommunikasjon og samhandling;Ulsrud videregående skole;;;;;3,6;60;;;;;3,4;58;;;;;3,7;88
HSF1008;Yrkesliv i helse- og oppvekstfag;Alle skoler;;;;;4,2;7 763;;;;;4,2;7 322;;;;;4,1;7 983
HSF1008;Yrkesliv i helse- og oppvekstfag;Alle skoler;;;;;4,2;7 763;;;;;4,2;7 322;;;;;4,1;7 983
HSF1008;Yrkesliv i helse- og oppvekstfag;Alle skoler;;;;;4;485;;;;;3,8;381;;;;;4;415
HSF1008;Yrkesliv i helse- og oppvekstfag;Eikelund videregående skole;;;;;3,8;6;;;;;*;*;;;;;*;*
HSF1008;Yrkesliv i helse- og oppvekstfag;Hersleb videregående skole;;;;;3,7;55;;;;;3,3;32;;;;;3,6;57
HSF1008;Yrkesliv i helse- og oppvekstfag;Holtet videregående skole;;;;;3,8;86;;;;;3,2;63;;;;;;
HSF1008;Yrkesliv i helse- og oppvekstfag;Kuben videregående skole;;;;;4,3;94;;;;;4,1;99;;;;;3,9;122
HSF1008;Yrkesliv i helse- og oppvekstfag;Nydalen videregående skole;;;;;4,6;75;;;;;4,4;76;;;;;4,5;71
HSF1008;Yrkesliv i helse- og oppvekstfag;Oslo voksenopplæring Helsfyr;;;;;;;;;;;*;*;;;;;;
HSF1008;Yrkesliv i helse- og oppvekstfag;Oslo voksenopplæring Skullerud;;;;;3,3;33;;;;;;;;;;;;
HSF1008;Yrkesliv i helse- og oppvekstfag;Stovner videregående skole;;;;;3,8;44;;;;;3,9;28;;;;;3,5;42
HSF1008;Yrkesliv i helse- og oppvekstfag;Ullern videregående skole;;;;;4,7;31;;;;;4,3;17;;;;;*;*
HSF1008;Yrkesliv i helse- og oppvekstfag;Ulsrud videregående skole;;;;;3,6;61;;;;;3,2;58;;;;;3,7;88
HUD2005;Helsefremmende arbeid;Alle skoler;;;;;3,7;154;;;;;3,9;156;;;;;4,1;155
HUD2005;Helsefremmende arbeid;Alle skoler;;;;;3,7;154;;;;;3,9;156;;;;;4,1;155
HUD2005;Helsefremmende arbeid;Alle skoler;;;;;2,8;11;;;;;4,4;8;;;;;3,1;9
HUD2005;Helsefremmende arbeid;Stovner videregående skole;;;;;2,8;11;;;;;4,4;8;;;;;3,1;9
HUD2006;Kommunikasjon og samhandling;Alle skoler;;;;;3,9;153;;;;;4;158;;;;;4,3;159
HUD2006;Kommunikasjon og samhandling;Alle skoler;;;;;3,9;153;;;;;4;158;;;;;4,3;159
HUD2006;Kommunikasjon og samhandling;Alle skoler;;;;;3,4;11;;;;;4,9;8;;;;;4,8;12
HUD2006;Kommunikasjon og samhandling;Stovner videregående skole;;;;;3,4;11;;;;;4,9;8;;;;;4,8;12
HUD2007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;4,1;152;;;;;4,3;155;;;;;4,4;156
HUD2007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;4,1;152;;;;;4,3;155;;;;;4,4;156
HUD2007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;3,6;11;;;;;5;6;;;;;4,9;9
HUD2007;Yrkesliv i hudpleiefaget;Stovner videregående skole;;;;;3,6;11;;;;;5;6;;;;;4,9;9
HUD2008;Tverrfaglig eksamen hudpleie;Alle skoler;4,2;153;;;;;4,4;153;;;;;4,4;155;;;;
HUD2008;Tverrfaglig eksamen hudpleie;Alle skoler;4,2;153;;;;;4,4;153;;;;;4,4;155;;;;
HUD2008;Tverrfaglig eksamen hudpleie;Alle skoler;4,2;11;;;;;5;6;;;;;4,4;9;;;;
HUD2008;Tverrfaglig eksamen hudpleie;Stovner videregående skole;4,2;11;;;;;5;6;;;;;4,4;9;;;;
HUD3005;Helsefremmende arbeid;Alle skoler;;;;;3,8;108;;;;;3,8;105;;;;;;
HUD3005;Helsefremmende arbeid;Alle skoler;;;;;3,8;108;;;;;3,8;105;;;;;;
HUD3005;Helsefremmende arbeid;Alle skoler;;;;;3,9;7;;;;;*;*;;;;;;
HUD3005;Helsefremmende arbeid;Stovner videregående skole;;;;;3,9;7;;;;;*;*;;;;;;
HUD3006;Kommunikasjon og samhandling;Alle skoler;;;;;4,1;108;;;;;4,3;105;;;;;;
HUD3006;Kommunikasjon og samhandling;Alle skoler;;;;;4,1;108;;;;;4,3;105;;;;;;
HUD3006;Kommunikasjon og samhandling;Alle skoler;;;;;4;7;;;;;*;*;;;;;;
HUD3006;Kommunikasjon og samhandling;Stovner videregående skole;;;;;4;7;;;;;*;*;;;;;;
HUD3007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;4,2;109;;;;;4,5;105;;;;;;
HUD3007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;4,2;109;;;;;4,5;105;;;;;;
HUD3007;Yrkesliv i hudpleiefaget;Alle skoler;;;;;4,3;7;;;;;*;*;;;;;;
HUD3007;Yrkesliv i hudpleiefaget;Stovner videregående skole;;;;;4,3;7;;;;;*;*;;;;;;
HUD3008;Tverrfaglig eksamen, hudpleier;Alle skoler;4,2;104;;;;;4,5;104;;;;;;;;;;
HUD3008;Tverrfaglig eksamen, hudpleier;Alle skoler;4,2;104;;;;;4,5;104;;;;;;;;;;
HUD3008;Tverrfaglig eksamen, hudpleier;Alle skoler;5;7;;;;;*;*;;;;;;;;;;
HUD3008;Tverrfaglig eksamen, hudpleier;Stovner videregående skole;5;7;;;;;*;*;;;;;;;;;;
HUD3009;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;4,1;110
HUD3009;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;4,1;110
HUD3009;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;*;*
HUD3009;Helsefremmende arbeid;Stovner videregående skole;;;;;;;;;;;;;;;;;*;*
HUD3010;Kommunikasjon og samhandling;Alle skoler;;;;;;;;;;;;;;;;;4,4;110
HUD3010;Kommunikasjon og samhandling;Alle skoler;;;;;;;;;;;;;;;;;4,4;110
HUD3010;Kommunikasjon og samhandling;Alle skoler;;;;;;;;;;;;;;;;;*;*
HUD3010;Kommunikasjon og samhandling;Stovner videregående skole;;;;;;;;;;;;;;;;;*;*
HUD3011;Yrkesliv i hudterapifaget;Alle skoler;;;;;;;;;;;;;;;;;4,4;109
HUD3011;Yrkesliv i hudterapifaget;Alle skoler;;;;;;;;;;;;;;;;;4,4;109
HUD3011;Yrkesliv i hudterapifaget;Alle skoler;;;;;;;;;;;;;;;;;*;*
HUD3011;Yrkesliv i hudterapifaget;Stovner videregående skole;;;;;;;;;;;;;;;;;*;*
HUD3012;Tverrfaglig eksamen, hudterapifaget;Alle skoler;;;;;;;;;;;;;4,6;107;;;;
HUD3012;Tverrfaglig eksamen, hudterapifaget;Alle skoler;;;;;;;;;;;;;4,6;107;;;;
HUD3012;Tverrfaglig eksamen, hudterapifaget;Alle skoler;;;;;;;;;;;;;*;*;;;;
HUD3012;Tverrfaglig eksamen, hudterapifaget;Stovner videregående skole;;;;;;;;;;;;;*;*;;;;
KOS2001;Råvare, produksjon, salg og service;Alle skoler;;;;;4,1;746;;;;;4,1;731;;;;;4,1;773
KOS2001;Råvare, produksjon, salg og service;Alle skoler;;;;;4,1;746;;;;;4,1;731;;;;;4,1;773
KOS2001;Råvare, produksjon, salg og service;Alle skoler;;;;;4,2;31;;;;;4,1;37;;;;;4,3;44
KOS2001;Råvare, produksjon, salg og service;Akademiet Norsk restaurantskole Sti;;;;;4,9;10;;;;;*;*;;;;;4,9;19
KOS2001;Råvare, produksjon, salg og service;Etterstad videregående skole;;;;;3,9;21;;;;;3,5;16;;;;;3,9;25
KOS2001;Råvare, produksjon, salg og service;Oslo voksenopplæring Helsfyr;;;;;;;;;;;*;*;;;;;;
KOS2002;Bransje og arbeidsliv;Alle skoler;;;;;3,9;746;;;;;3,9;733;;;;;4;776
KOS2002;Bransje og arbeidsliv;Alle skoler;;;;;3,9;746;;;;;3,9;733;;;;;4;776
KOS2002;Bransje og arbeidsliv;Alle skoler;;;;;4,1;31;;;;;4;37;;;;;4,1;44
KOS2002;Bransje og arbeidsliv;Akademiet Norsk restaurantskole Sti;;;;;4,7;10;;;;;*;*;;;;;4,7;19
KOS2002;Bransje og arbeidsliv;Etterstad videregående skole;;;;;3,8;21;;;;;3,4;16;;;;;3,6;25
KOS2002;Bransje og arbeidsliv;Oslo voksenopplæring Helsfyr;;;;;;;;;;;*;*;;;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Alle skoler;4,2;751;;;;;4,2;725;;;;;4,2;772;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Alle skoler;4,2;751;;;;;4,2;725;;;;;4,2;772;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Alle skoler;3,8;34;;;;;4,1;52;;;;;4,3;54;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Akademiet Norsk restaurantskole Sti;3,6;10;;;;;*;*;;;;;4,3;19;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Etterstad videregående skole;*;*;;;;;*;*;;;;;4,1;25;;;;
KOS2003;Tverrfaglig eksamen kokk- og servitørfag;Oslo voksenopplæring Helsfyr;;;;;;;4,6;17;;;;;4,9;10;;;;
